title,release_date,original_language,original_title,overview,tagline,genres,spoken_languages,keywords
WWE SummerSlam 2009,2009-08-23,en,WWE SummerSlam 2009,"SummerSlam (2009) was a PPV which took place on August 23, 2009 at Staples Center in Los Angeles, California and was presented by 7-Eleven. It was the 22nd annual SummerSlam event.  The main events of the evening included: CM Punk challenging World Heavyweight Champion Jeff Hardy in a Tables, Ladders, and Chairs match for the title, John Cena challenging WWE Champion Randy Orton for the title, William Regal challenging ECW Champion Christian for the title, and D-Generation X's Triple H and Shawn Michaels versus The Legacy's Cody Rhodes and Ted DiBiase. Other matches featured on the show were WWE Intercontinental Champion Rey Mysterio versus Dolph Ziggler, Montel Vontavious Porter (MVP) against Jack Swagger, Chris Jericho and The Big Show defending the Unified WWE Tag Team Championship against Cryme Tyme, and Kane facing The Great Khali.",The Biggest Event of the Summer,"Action, Drama",english,wrestling
I Think I Do,1997-06-20,en,I Think I Do,"The marriage of mutual friends reunites former college roommates Bob and Brendan, who tried to ignore the sexual tension that always flowed between them. Brendan finally comes out to Bob at the reception, but is it a case of too little, too late?",3 Days. 2 Couples. 1 Wedding. No Funerals.,"Comedy, Romance",english,"coming out, wedding reception, roommate, wedding, lgbt, college reunion, gay friend, gay theme"
The Hoax,1972-04-19,en,The Hoax,Two scheming ne'er-do-wells find a lost nuclear weapon in the ocean near Los Angeles. They decide to light-heartedly try and blackmail the city by asking for money from each citizen. This arouses the attention of the local authorities.,"Two guys become a nuclear power, open a secret Swiss bank account… and hold a city for ransom!","Comedy, Crime",english,"ransom, los angeles, california, hoax, h bomb"
Walkin' The Bridge,2025-01-11,en,Walkin' The Bridge,"Antonio Baruchi is on a hunt to avenge his father's wrongful murder and seeks refuge in the hands of the Marchetti Crime Family. This 1950s black-and-white noir follows his journey of vengeance, love, despair, greed, and hate. Will he be able to free himself from the burden of his father's death? Or will it consume and bury him in a life of crime.","Antonio Baruchi struggles with the unlawful murder of his father by corrupted cops, and seeks his revenge through the eyes of Don Gazpacho.","Crime, Drama",english,"gangster, mafia, the godfather's influence, walking the bridge, goodfellas"
Black Spurs,1965-05-28,en,Black Spurs,A dissatisfied ranch hand becomes a bounty hunter. He conspires with a crooked town boss to dirty up a neighboring village where a valuable railroad franchise is headed.,Bounty Hunter-Law Abiding Killer!,Western,english,"bounty hunter, saloon girl, tar and feathers"
Rainier the Mountain,1999-01-01,en,Rainier the Mountain,"In this retrospective tribute, acclaimed filmmaker Jean Walkinshaw hails the 100th anniversary of Mount Rainier National Park in Washington by talking to those who know it best: the scientists, naturalists, mountain climbers and artists whose lives have been touched by the peak's far-reaching shadow. The result is a harmonious blend of archival material and high-definition footage celebrating an icon of the Pacific Northwest.",Experience the allure of the Pacific Northwest's most enduring symbol ”Mount Rainier” in high definition!,Documentary,English,"mountain, mountaineer, nature, mountain climbing, mountaineering, geologist, geology"
The Warrior Queen of Jhansi,2019-11-15,en,The Warrior Queen of Jhansi,"The true story of Lakshmibai, the historic Queen of Jhansi who fiercely led her army against the British East India Company in the infamous mutiny of 1857.",Queen. Soldier. Legend.,"Drama, History","english, hindi","east india company, india, 19th century"
Brushfire,1962-03-01,en,Brushfire,"Group of farmers go to the rescue of a couple kidnapped by rebels, who want to exchange them for weapons and ammunition.",The Brushfire Incident That Shocked Southeast Asia...And the World!,"Drama, Adventure",english,"farmers, brushfire"
The McConnell Story,1955-09-29,en,The McConnell Story,"Joe McConnell was sure that he was meant to be a pilot, but was stuck as a restless army private. It seemed that his ambition was blocked at every step.",A Stirring Salute to the Great American Spirit AND NOW a Stiring Tribute from a Great American,"Drama, War, History",english,"korean war, war hero, test pilot"
Wanted Melody,2012-02-05,en,Wanted Melody,A surprising western starring ... penises.,A weird western,Animation,french,short film
The Grand,2007-06-07,en,The Grand,"The Grand is in the tradition of improvisational comedies like Best In Show and This Is Spinal Tap. The story is set in the world of professional poker and follows six players who reach the final table of the world’s second most famous high stakes tournament, the Grand Championship of Poker.",A comedy about the fine art of losing.,Comedy,english,"poker, mockumentary, tournament, improvisation, poker game"
WWE The Great American Bash 2004,2004-06-27,en,WWE The Great American Bash 2004,"The Great American Bash (2004) was the 15th Great American Bash professional wrestling pay-per-view event, and the first produced by World Wrestling Entertainment. The event, presented by Subway, took place on June 27, 2004 at the Norfolk Scope in Norfolk, Virginia and was a SmackDown! brand-exclusive event.  The main event was a Handicap match between The Dudley Boyz and The Undertaker. One of the featured matches on the undercard was a Texas Bullrope match for the WWE Championship between John ""Bradshaw"" Layfield (JBL) and champion Eddie Guerrero. Another primary match on the undercard was Rey Mysterio versus Chavo Guerrero for the WWE Cruiserweight Championship.",Join Our Party,"Action, Drama",english,wrestling
The Fighting Redhead,1949-10-05,en,The Fighting Redhead,"Red Ryder gets a telegram from his old friend Dan O'Connor asking for help in his fight against Faro Savage and his gang of rustlers. A gun dropped by Faro during a rustling raid makes Red and Sheila O'Connor, Dan's daughter, think they have ample proof against Faro but they are stymied by the law. Buckskin Blodgett and the Duchess, Red's aunt, find the body of O'Connor who was killed when Faro's men sent the sheriff out on a ruse. Sheila, discovered while rifling Faros office for evidence, escapes but not before she is recognized. Faro kills one of his own henchmen and then frames Sheila for the murder. Red and Little Beaver set out to clear Sheila and to try to find evidence against Faro and his gang.  Written by Les Adams",Outlaws Or Settlers... WHO'LL RULE THE WEST?,Western,english,"rustlers, redhead"
Stage Door Canteen,1943-06-24,en,Stage Door Canteen,"A young soldier on a pass in New York City visits the famed Stage Door Canteen, where famous stars of the theater and films appear and host a recreational center for servicemen during the war. The soldier meets a pretty young hostess and they enjoy the many entertainers and a growing romance",YOU'VE HEARD ABOUT IT! READ ABOUT IT! NOW *SEE* THE WORLD'S GREATEST ENTERTAINMENT HIT!,"Comedy, Music, Romance, War","english, russian, spanish",military service
License to Drive,1988-07-06,en,License to Drive,"Teenager Les Anderson thinks his life can't get any worse after he flunks his driver's exam, but he's wrong. Even though he didn't receive his license, Les refuses to break his date with the cool Mercedes Lane, and he decides to lift his family's prize luxury car for the occasion. Unfortunately, Mercedes sneaks some booze along and passes out drunk, and a confused Les makes the bad decision of enlisting his rebellious friend, Dean, to help.",Some guys get all the brakes!,"Comedy, Family",english,"champagne, driving test, underage drinking, drunk driving, teem"
All the President's Men Revisited,2013-04-21,en,All the President's Men Revisited,"The Watergate case was the original game changer of America politics. How has Watergate changed the Presidency? What effect has the scandal had on our political leaders? And has hope and optimism forever been replaced in our national dialogue by doubt and cynicism? In 1973, Watergate's most pivotal year, reporters Bob Woodward and Carl Bernstein doggedly investigated the scandal exposing the long, twisted trail of cover-ups and lies.",Looking back at the political scandal that rocked America…,"Documentary, TV Movie, History",english,"politics, watergate scandal, watergate, nixon, news"
Black Gold,1947-09-16,en,Black Gold,A Native American man trains a horse for the Kentucky Derby.,Black Gold in Glorious Cinecolor!,"Drama, Western",english,"horse race, horse, kentucky, native american"
Doomsday County,2010-10-09,en,Doomsday County,"In a town overrun with zombies, vampires, and a melting mad scientist with plans for an impending alien invasion, it's up to a select few to try and keep order.","Vampires, zombies, aliens.... No problem",Horror,english,"vampire, alien, zombie, scientist, doomsday"
Brown Girl Begins,2017-10-01,en,Brown Girl Begins,It's 2049 on a forsaken island off the coast of Toronto where the survival of the islanders depends on young Ti-Jeanne to risk death by a spirit so she can take her place as a caribbean priestess and save her people.,The future is her.,"Science Fiction, Fantasy",english,"toronto, canada, post-apocalyptic future, woman director"
